Country Name,Year,LowerSecondaryAttainment,UpperSecondaryAttainment,BachelorsAttainment,MastersAttainment,DoctoralAttainment,GDP_Millions,%_expenditure_gdp
Paraguay,2013,46.66381836,36.028759,12.1796999,7.097300053,0.187319994,38651334288,3.61024004
Paraguay,2014,46.69829941,36.56420135,11.71026039,6.411159992,0.06525000185,40377987209,3.55294001
Paraguay,2015,49.06567001,38.79034042,12.80041027,6.652560234,0.1224400029,36211372703,3.49563998
Paraguay,2016,47.79610062,36.63816833,12.35270023,6.671689987,0.05026999861,36089550659,3.438339949
Paraguay,2017,49.6132225,38.88256302,13.02518406,6.99219809,0.068743,38997129474,3.38103992
Paraguay,2018,50.11856079,39.38156891,13.02303982,6.959670067,0.05579999834,40225448341,3.32373989
Paraguay,2019,51.70727474,40.84695424,14.004106,7.49978213,0.05143843,37906944075,3.26643986
Portugal,2010,41.30255127,25.59531021,12.66298008,13.6050787,0.30667998,237880908318,5.412489891
Portugal,2011,45.00740051,27.87612915,14.1166296,13.65815563,0.34184999,244797226567,5.123330116
Portugal,2012,47.23015976,30.02281952,15.23538971,13.71123257,0.37701999,216236608774,4.949409962
Portugal,2013,49.28514862,31.86906052,15.87279034,13.7643095,0.41218999,226369502104,5.270969868
Portugal,2014,51.44493866,34.2075882,17.48498917,13.51679039,0.4522199929,229596170847,5.124000072
Portugal,2015,52.7052002,35.42892838,18.18252945,13.94134045,0.4868099988,199313894327,4.885540009
Portugal,2016,54.19124985,36.77096176,18.99613953,14.29547024,0.4950500131,206286022782,4.98148699
Portugal,2017,55.18072128,37.6235199,19.24945068,14.22251034,0.5658900142,220811110492,5.015610218
Portugal,2018,54.30302048,37.08358002,18.65402985,13.64159012,0.588530004,242194788534,4.89039287
Portugal,2019,55.39427153,40.62960561,20.81670602,14.08277111,0.62321002,239510770948,4.84484581
Qatar,2010,46.81409073,36.73772812,15.75669956,1.27348983,0.35976005,125122306346,4.539659977
Qatar,2011,52.58201981,41.11022949,18.79969025,1.30045986,0.37121004,167775268614,4.012239933
Qatar,2012,60.46305084,41.34368896,20.88371086,1.32742989,0.38266003,186833502362,3.50744009
Qatar,2013,69.48751068,46.06689835,20.51387978,1.35439992,0.39411002,198727642979,4.073840141
Qatar,2014,68.37606812,43.96334076,20.30606079,1.40833998,0.40556002,206224598565,3.605350018
Qatar,2015,66.80491124,42.30576391,19.55733639,1.43531001,0.41701001,161739955578,3.32272921
